Method,Layer,Case_ID,X_Signal,Y_Noise,Norm_Delta
TRIM (Ours),14,0,1.6374192668422438e-08,0.6258451938629148,0.625845193862915
TRIM (Ours),15,0,1.1538460853444121e-08,0.9445747733116149,0.944574773311615
TRIM (Ours),16,0,3.354404398692168e-08,1.6431216001510616,1.643121600151062
TRIM (Ours),12,0,8.89565487938171e-09,0.39108216762542714,0.39108216762542725
TRIM (Ours),13,0,1.3127915643451615e-08,0.46420747041702254,0.4642074704170227
TRIM (Ours),14,0,2.9100123200009875e-08,0.6322616338729852,0.6322616338729858
TRIM (Ours),15,0,3.028505091151601e-08,0.9398854970932002,0.9398854970932007
TRIM (Ours),16,0,4.447559831532999e-08,1.634050846099853,1.6340508460998535
TRIM (Ours),12,0,3.2475753197758195e-09,0.37840116024017334,0.37840116024017334
TRIM (Ours),13,0,6.983429834406252e-09,0.45881044864654535,0.4588104486465454
TRIM (Ours),14,0,8.982150134784206e-09,0.6013007164001465,0.6013007164001465
TRIM (Ours),15,0,1.2211055278044114e-08,0.9264409542083739,0.926440954208374
TRIM (Ours),16,0,1.7506389227150976e-08,1.661073565483093,1.6610735654830933
TRIM (Ours),12,0,6.651695194648255e-09,0.41902348399162287,0.4190234839916229
TRIM (Ours),13,0,5.073309328196274e-09,0.5119526386260986,0.5119526386260986
TRIM (Ours),14,0,6.292368848193064e-09,0.659950852394104,0.659950852394104
TRIM (Ours),15,0,1.560278306556029e-08,0.99336439371109,0.9933643937110901
TRIM (Ours),16,0,4.998157265845293e-08,1.7248688936233514,1.724868893623352
TRIM (Ours),12,0,9.048326532479223e-09,0.4003198742866515,0.4003198742866516
TRIM (Ours),13,0,1.0507084979849424e-08,0.4952288568019866,0.4952288568019867
TRIM (Ours),14,0,1.026798823744457e-08,0.6580690145492553,0.6580690145492554
TRIM (Ours),15,0,1.1852078429797075e-08,0.9627447724342345,0.9627447724342346
TRIM (Ours),16,0,2.775932195220321e-08,1.6827827692031858,1.682782769203186
TRIM (Ours),12,0,1.0179257436959688e-08,0.3885106444358824,0.38851064443588257
TRIM (Ours),13,0,1.0855937482290301e-08,0.4819486439228057,0.4819486439228058
TRIM (Ours),14,0,1.2677361382884555e-08,0.6502991318702697,0.6502991318702698
TRIM (Ours),15,0,2.283044153728042e-08,0.9510610103607174,0.9510610103607178
TRIM (Ours),16,0,6.43753850226858e-08,1.670017361640929,1.6700173616409302
TRIM (Ours),12,0,5.274751746497941e-09,0.43511191010475153,0.4351119101047516
TRIM (Ours),13,0,9.064970107885983e-09,0.5412962436676025,0.5412962436676025
TRIM (Ours),14,0,1.5240640749425438e-08,0.7033640146255492,0.7033640146255493
TRIM (Ours),15,0,6.360120607951103e-08,1.0704995393753034,1.0704995393753052
TRIM (Ours),16,0,1.0689216622949971e-07,1.7587286233901944,1.7587286233901978
TRIM (Ours),12,0,4.548836418649671e-09,0.4137256443500518,0.4137256443500519
TRIM (Ours),13,0,1.4021964922505958e-08,0.50208044052124,0.5020804405212402
TRIM (Ours),14,0,2.0319832927384596e-08,0.6475690007209775,0.6475690007209778
TRIM (Ours),15,0,1.2677759286816581e-08,0.9638998508453368,0.9638998508453369
TRIM (Ours),16,0,4.877647086232173e-08,1.7398588657379144,1.739858865737915
TRIM (Ours),12,0,1.1937795640903914e-08,0.3921303451061247,0.3921303451061249
TRIM (Ours),13,0,1.4532083092433368e-08,0.4848702251911161,0.48487022519111633
TRIM (Ours),14,0,1.6730394847286334e-08,0.6400394439697263,0.6400394439697266
TRIM (Ours),15,0,2.791511022337545e-08,0.9908407926559444,0.9908407926559448
TRIM (Ours),16,0,4.201975656314971e-08,1.6710047721862789,1.6710047721862793
TRIM (Ours),12,0,9.590277016968685e-09,0.3801839053630828,0.3801839053630829
TRIM (Ours),13,0,6.87654200248744e-09,0.46434575319290156,0.4643457531929016
TRIM (Ours),14,0,2.424536837963842e-08,0.6184706091880794,0.6184706091880798
TRIM (Ours),15,0,1.1240692820990716e-08,0.8970757722854613,0.8970757722854614
TRIM (Ours),16,0,2.2712251634970926e-08,1.62023651599884,1.6202365159988403
TRIM (Ours),12,0,4.954129995127232e-09,0.37558659911155695,0.375586599111557
TRIM (Ours),13,0,4.969807232413359e-09,0.480455994606018,0.48045599460601807
TRIM (Ours),14,0,3.906599044256609e-09,0.6253963112831116,0.6253963112831116
TRIM (Ours),15,0,9.12673492337035e-09,0.9635409712791442,0.9635409712791443
TRIM (Ours),16,0,2.6275309039647254e-08,1.6746270656585691,1.6746270656585693
TRIM (Ours),12,0,8.885827185167727e-09,0.4043450355529784,0.4043450355529785
TRIM (Ours),13,0,8.463325151808476e-09,0.4968920350074767,0.4968920350074768
TRIM (Ours),14,0,8.87711149033521e-09,0.669551432132721,0.669551432132721
TRIM (Ours),15,0,1.3577843738232787e-08,0.9863290190696715,0.9863290190696716
TRIM (Ours),16,0,7.997733320053158e-08,1.800914287567137,1.8009142875671387
TRIM (Ours),12,0,7.73876163151499e-09,0.40424212813377375,0.4042421281337738
TRIM (Ours),13,0,9.442066684073325e-09,0.49191898107528675,0.49191898107528687
TRIM (Ours),14,0,1.0252846571745522e-08,0.6659982204437255,0.6659982204437256
TRIM (Ours),15,0,1.3759152928116691e-08,1.031636357307434,1.031636357307434
TRIM (Ours),16,0,2.642370944272443e-08,1.7046239376068113,1.7046239376068115
TRIM (Ours),12,0,5.67797764361444e-09,0.3782296478748321,0.37822964787483215
TRIM (Ours),13,0,1.0902862612738318e-08,0.4926260411739348,0.49262604117393494
TRIM (Ours),14,0,1.7249284667286702e-08,0.6473054289817808,0.647305428981781
TRIM (Ours),15,0,1.53139154690507e-08,0.9522559642791747,0.9522559642791748
TRIM (Ours),16,0,2.5789503865780716e-08,1.680735111236572,1.6807351112365723
TRIM (Ours),12,0,5.072332331934604e-09,0.4067786037921905,0.40677860379219055
TRIM (Ours),13,0,8.926510197682092e-09,0.48280510306358326,0.4828051030635834
TRIM (Ours),14,0,2.6986448631305393e-08,0.6431694030761713,0.6431694030761719
TRIM (Ours),15,0,1.1189693616131535e-08,0.9845600128173827,0.9845600128173828
TRIM (Ours),16,0,4.140483511605453e-08,1.7955625057220455,1.795562505722046
TRIM (Ours),12,0,4.507509920870234e-09,0.39073571562767023,0.3907357156276703
TRIM (Ours),13,0,7.712854355190757e-09,0.48770549893379206,0.4877054989337921
TRIM (Ours),14,0,2.591208314584037e-08,0.6402103900909418,0.6402103900909424
TRIM (Ours),15,0,3.0025962161062125e-08,0.9603079557418819,0.9603079557418823
TRIM (Ours),16,0,3.047234997666237e-08,1.7538230419158933,1.7538230419158936
TRIM (Ours),12,0,6.949685715795795e-09,0.3743711709976196,0.37437117099761963
TRIM (Ours),13,0,1.3333055548514494e-08,0.47956165671348555,0.4795616567134857
TRIM (Ours),14,0,8.705126397501317e-09,0.6253389716148376,0.6253389716148376
TRIM (Ours),15,0,2.2621565065605864e-08,1.0579994916915891,1.0579994916915894
TRIM (Ours),16,0,2.5347542731424255e-08,1.477855563163757,1.4778555631637573
TRIM (Ours),12,0,5.897284882649956e-09,0.3988382220268249,0.39883822202682495
TRIM (Ours),13,0,1.868983545705305e-08,0.49517139792442283,0.4951713979244232
TRIM (Ours),14,0,1.0349449297564206e-08,0.661873161792755,0.6618731617927551
TRIM (Ours),15,0,2.471390558866915e-08,1.0230417251586912,1.0230417251586914
TRIM (Ours),16,0,3.276987214917426e-08,1.6196509599685667,1.619650959968567
TRIM (Ours),12,0,8.346235702560989e-09,0.4335222244262694,0.43352222442626953
TRIM (Ours),13,0,5.814741577125915e-09,0.5239337682723999,0.5239337682723999
TRIM (Ours),14,0,1.527769022402481e-08,0.6662200093269346,0.6662200093269348
TRIM (Ours),15,0,1.8764346521038533e-08,0.9860243201255796,0.9860243201255798
TRIM (Ours),16,0,2.7684402326144664e-08,1.7527347803115843,1.7527347803115845
TRIM (Ours),12,0,7.2348456114923465e-09,0.3803879618644714,0.38038796186447144
TRIM (Ours),13,0,9.299387038197438e-09,0.47924134135246266,0.47924134135246277
TRIM (Ours),14,0,7.3536092770609685e-09,0.6305902600288391,0.6305902600288391
TRIM (Ours),15,0,1.6848780148848164e-08,0.9751980900764463,0.9751980900764465
TRIM (Ours),16,0,4.763273153685077e-08,1.737275600433349,1.7372756004333496
TRIM (Ours),12,0,9.676500489774753e-09,0.41223275661468495,0.41223275661468506
TRIM (Ours),13,0,1.363810753218786e-08,0.4945479929447172,0.4945479929447174
TRIM (Ours),14,0,1.679224759243425e-08,0.6308837532997129,0.6308837532997131
TRIM (Ours),15,0,1.7578845046273273e-08,0.9635519981384275,0.9635519981384277
TRIM (Ours),16,0,4.361760375104495e-08,1.6137472391128536,1.613747239112854
TRIM (Ours),12,0,3.788175106933522e-09,0.3912006020545959,0.39120060205459595
TRIM (Ours),13,0,9.337102646611584e-09,0.49382975697517384,0.49382975697517395
TRIM (Ours),14,0,5.8090732224513886e-09,0.6719650030136108,0.6719650030136108
TRIM (Ours),15,0,1.3339271021095556e-08,0.9875563383102416,0.9875563383102417
TRIM (Ours),16,0,4.160818178888803e-08,1.7054400444030757,1.7054400444030762
TRIM (Ours),12,0,7.502074517162782e-09,0.3857958316802978,0.38579583168029785
TRIM (Ours),13,0,7.165975812739589e-09,0.47441345453262324,0.4744134545326233
TRIM (Ours),14,0,1.7650158667947835e-08,0.6161374449729917,0.6161374449729919
TRIM (Ours),15,0,8.418130192922035e-09,0.993327498435974,0.9933274984359741
TRIM (Ours),16,0,3.821591221253584e-08,1.6097630262374873,1.6097630262374878
TRIM (Ours),12,0,2.882670324666492e-09,0.36628609895706177,0.36628609895706177
TRIM (Ours),13,0,5.150540438592088e-09,0.45431664586067194,0.454316645860672
TRIM (Ours),14,0,1.6859440066241405e-08,0.5985394120216367,0.598539412021637
TRIM (Ours),15,0,2.3388874836882678e-08,0.8798356652259823,0.8798356652259827
TRIM (Ours),16,0,2.0837081393665358e-08,1.5575443506240843,1.5575443506240845
TRIM (Ours),12,0,9.307186132900824e-09,0.4097309410572051,0.4097309410572052
TRIM (Ours),13,0,1.4898941635976826e-08,0.49591508507728554,0.49591508507728577
TRIM (Ours),14,0,7.944451319019663e-09,0.6622796654701233,0.6622796654701233
TRIM (Ours),15,0,8.028863796027963e-09,0.9937849044799804,0.9937849044799805
TRIM (Ours),16,0,1.7298475540883373e-08,1.7680388689041135,1.7680388689041138
TRIM (Ours),12,0,6.236997585062909e-09,0.39363172650337214,0.3936317265033722
TRIM (Ours),13,0,1.4611702070510546e-08,0.49068465828895547,0.4906846582889557
TRIM (Ours),14,0,8.507528015400112e-09,0.646882176399231,0.646882176399231
TRIM (Ours),15,0,3.0398947359344675e-08,1.066742897033691,1.0667428970336914
TRIM (Ours),16,0,2.9376144183856923e-08,1.5285432338714597,1.52854323387146
TRIM (Ours),12,0,3.412115257006576e-09,0.4410551190376282,0.4410551190376282
TRIM (Ours),13,0,3.761735367646679e-09,0.5232000946998596,0.5232000946998596
TRIM (Ours),14,0,2.5636120781769023e-08,0.6783900856971736,0.6783900856971741
TRIM (Ours),15,0,2.069790028258467e-08,0.994350731372833,0.9943507313728333
TRIM (Ours),16,0,2.903468576676005e-08,1.7303385734558103,1.7303385734558105
TRIM (Ours),12,0,7.807401836146255e-09,0.3849280476570129,0.38492804765701294
TRIM (Ours),13,0,1.3681271227028446e-08,0.488404721021652,0.4884047210216522
TRIM (Ours),14,0,2.8344835811822122e-08,0.6565135121345514,0.656513512134552
TRIM (Ours),15,0,3.8752730802116275e-08,1.0492810010910028,1.0492810010910034
TRIM (Ours),16,0,7.346222474780006e-08,1.7201927900314316,1.720192790031433
TRIM (Ours),12,0,6.963511989255267e-09,0.3959792852401733,0.39597928524017334
TRIM (Ours),13,0,1.3895819606091209e-08,0.47247636318206765,0.47247636318206787
TRIM (Ours),14,0,1.2290365170031237e-08,0.6224043369293212,0.6224043369293213
TRIM (Ours),15,0,1.827936024767496e-08,0.9541645646095274,0.9541645646095276
TRIM (Ours),16,0,3.848290219821138e-08,1.6950625181198116,1.695062518119812
TRIM (Ours),12,0,7.576289817734505e-09,0.41178795695304865,0.4117879569530487
TRIM (Ours),13,0,1.2348713163135017e-08,0.48747947812080367,0.48747947812080383
TRIM (Ours),14,0,1.4675466175617657e-08,0.6386497616767881,0.6386497616767883
TRIM (Ours),15,0,2.3396905746153607e-08,0.9902278780937191,0.9902278780937195
TRIM (Ours),16,0,3.38424079870947e-08,1.8573592901229854,1.8573592901229858
TRIM (Ours),12,0,5.397756019931421e-09,0.3698653876781463,0.36986538767814636
TRIM (Ours),13,0,5.78007286478055e-09,0.4674264192581176,0.4674264192581177
TRIM (Ours),14,0,6.820205733504281e-09,0.61391282081604,0.61391282081604
TRIM (Ours),15,0,1.48488465967489e-08,0.9605334997177123,0.9605334997177124
TRIM (Ours),16,0,3.0536696726812806e-08,1.643733739852905,1.6437337398529053
TRIM (Ours),12,0,8.847721666427333e-09,0.4093911349773406,0.4093911349773407
TRIM (Ours),13,0,1.62598059461061e-08,0.4930634200572965,0.49306342005729675
TRIM (Ours),14,0,1.1132895494370132e-08,0.6588797569274901,0.6588797569274902
TRIM (Ours),15,0,1.797313586848759e-08,0.9721872210502622,0.9721872210502625
TRIM (Ours),16,0,8.510113502779859e-08,1.7019034624099711,1.7019034624099731
TRIM (Ours),12,0,4.155789046222935e-09,0.4053415954113006,0.40534159541130066
TRIM (Ours),13,0,9.480978668818807e-09,0.4979225397109984,0.49792253971099854
TRIM (Ours),14,0,2.5001012815550894e-08,0.6626364588737483,0.6626364588737488
TRIM (Ours),15,0,1.4269247117226769e-08,0.9673257470130919,0.967325747013092
TRIM (Ours),16,0,4.883771964614425e-08,1.7606196403503411,1.7606196403503418
TRIM (Ours),12,0,5.031005390065957e-09,0.4113189876079559,0.41131898760795593
TRIM (Ours),13,0,1.705570618071306e-08,0.49454283714294406,0.49454283714294434
TRIM (Ours),14,0,1.8941301860309068e-08,0.6488204002380369,0.6488204002380371
TRIM (Ours),15,0,1.3644844365501285e-08,0.976375639438629,0.9763756394386292
TRIM (Ours),16,0,3.4046799157749774e-08,1.7580851316452022,1.7580851316452026
TRIM (Ours),12,0,8.547416996407264e-09,0.4093462526798247,0.40934625267982483
TRIM (Ours),13,0,9.476295304011728e-09,0.5096223950386046,0.5096223950386047
TRIM (Ours),14,0,1.1523200171836834e-08,0.6625252366065978,0.6625252366065979
TRIM (Ours),15,0,2.7540506764012207e-08,0.9823749065399165,0.982374906539917
TRIM (Ours),16,0,6.729269586003284e-08,1.6936599016189562,1.6936599016189575
TRIM (Ours),12,0,9.960856139912266e-09,0.39261251688003523,0.3926125168800354
TRIM (Ours),13,0,1.0938680183869565e-08,0.4833877682685851,0.4833877682685852
TRIM (Ours),14,0,1.5291673705064568e-08,0.6505782008171079,0.6505782008171082
TRIM (Ours),15,0,1.7478098968126687e-08,0.9496604204177854,0.9496604204177856
TRIM (Ours),16,0,2.87294046330544e-08,1.6268309354782102,1.6268309354782104
TRIM (Ours),12,0,7.489804332294625e-09,0.3997484147548675,0.39974841475486755
TRIM (Ours),13,0,1.0904922298493602e-08,0.5053560733795165,0.5053560733795166
TRIM (Ours),14,0,1.3430204504061294e-08,0.6663511395454406,0.6663511395454407
TRIM (Ours),15,0,3.368386813917823e-08,1.0025428533554073,1.0025428533554077
TRIM (Ours),16,0,7.905072152425419e-08,1.654671907424925,1.6546719074249268
TRIM (Ours),12,0,8.771218418246463e-09,0.3720569014549254,0.37205690145492554
TRIM (Ours),13,0,4.371062622965383e-09,0.46615234017372126,0.4661523401737213
TRIM (Ours),14,0,6.1380114324549595e-09,0.6106679439544678,0.6106679439544678
TRIM (Ours),15,0,1.8625556208462513e-08,0.9483121037483213,0.9483121037483215
TRIM (Ours),16,0,7.103405863517764e-08,1.6353404521942123,1.6353404521942139
TRIM (Ours),12,0,8.28587065626607e-09,0.3644940257072448,0.3644940257072449
TRIM (Ours),13,0,8.160665032619363e-09,0.4454163014888763,0.44541630148887634
TRIM (Ours),14,0,1.169280583468435e-08,0.5939873456954955,0.5939873456954956
TRIM (Ours),15,0,1.7936713447852526e-08,0.8752452135086057,0.875245213508606
TRIM (Ours),16,0,4.271330311667043e-08,1.5651792287826531,1.5651792287826538
TRIM (Ours),12,0,6.212801384464228e-09,0.44483438134193415,0.4448343813419342
TRIM (Ours),13,0,1.1566981150679112e-08,0.5189613103866576,0.5189613103866577
TRIM (Ours),14,0,1.816914974028805e-08,0.6806210875511167,0.6806210875511169
TRIM (Ours),15,0,2.3576188112883756e-08,1.0953677892684934,1.0953677892684937
TRIM (Ours),16,0,5.390241852865074e-08,1.6245360374450675,1.6245360374450684
TRIM (Ours),12,0,6.40072350677201e-09,0.4010500311851501,0.40105003118515015
TRIM (Ours),13,0,7.996337814120125e-09,0.4807083308696746,0.4807083308696747
TRIM (Ours),14,0,7.388705203226209e-09,0.6306089758872986,0.6306089758872986
TRIM (Ours),15,0,9.697663116980948e-09,0.9331670403480529,0.933167040348053
TRIM (Ours),16,0,2.4085448302457735e-08,1.589924335479736,1.5899243354797363
TRIM (Ours),12,0,9.583164484183726e-09,0.41810476779937733,0.41810476779937744
TRIM (Ours),13,0,7.54526308099912e-09,0.49945551156997675,0.4994555115699768
TRIM (Ours),14,0,2.8151539765985945e-08,0.6756855845451349,0.6756855845451355
TRIM (Ours),15,0,2.820033095929375e-08,0.994006752967834,0.9940067529678345
TRIM (Ours),16,0,9.252045174434897e-08,1.6954621076583838,1.6954621076583862
TRIM (Ours),12,0,9.664651301477534e-09,0.4193780422210692,0.41937804222106934
TRIM (Ours),13,0,1.1301708902067276e-08,0.5102030038833617,0.5102030038833618
TRIM (Ours),14,0,1.4828982486392306e-08,0.7011085152626036,0.7011085152626038
TRIM (Ours),15,0,1.467809518373997e-08,1.0173563957214355,1.0173563957214355
TRIM (Ours),16,0,6.125219442765228e-08,1.7139958143234242,1.7139958143234253
TRIM (Ours),12,0,4.696472988285905e-09,0.4304842352867126,0.43048423528671265
TRIM (Ours),13,0,7.677101621084148e-09,0.5132740139961243,0.5132740139961243
TRIM (Ours),14,0,1.9615074009493583e-08,0.6808244585990902,0.6808244585990906
TRIM (Ours),15,0,1.227211132714956e-08,0.9912675023078917,0.9912675023078918
TRIM (Ours),16,0,3.0880510593078725e-08,1.7985785007476804,1.7985785007476807
TRIM (Ours),12,0,4.3643781921787195e-09,0.36918222904205317,0.3691822290420532
TRIM (Ours),13,0,1.00686872173128e-08,0.4488089084625243,0.4488089084625244
TRIM (Ours),14,0,7.492983122858732e-09,0.5984339714050293,0.5984339714050293
TRIM (Ours),15,0,1.9162703424058236e-08,0.9398851990699766,0.9398851990699768
TRIM (Ours),16,0,2.351531236399751e-08,1.6374109983444212,1.6374109983444214
TRIM (Ours),12,0,6.934414820136681e-09,0.4090751111507415,0.4090751111507416
TRIM (Ours),13,0,7.904041865458566e-09,0.5114650130271912,0.5114650130271912
TRIM (Ours),14,0,8.164839471191954e-09,0.6910288333892822,0.6910288333892822
